,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,tank,bank,right,window,information,newsletter,state,image,like,list,know,wire,file,atheism,mary,sound,post,jesu,port,client,year,scsi,thank,period,chip,crime,israel,price,president,male,disease,space,cover,restraint,line,armenian,battery,drive,testament,atheist,game,like,message,gateway,team,psalm,captain,people,fire,cancer
1,fire,pitt,time,card,system,green,national,file,bike,newsgroup,funny,phone,font,know,islander,noise,block,church,apple,norway,good,turkey,please,goal,encryption,weapon,build,mail,state,edge,drug,earth,satellite,cartridge,echo,turkish,space,scsi,story,belief,team,kinsey,linux,iranian,division,widget,trad,think,koresh,doug
2,hell,voltage,people,driver,object,blue,center,color,back,send,thing,neutral,section,like,mark,channel,hockey,christ,printer,hostname,think,theory,know,play,security,public,pascal,interest,program,linear,food,launch,radar,vector,error,greek,time,system,translation,evidence,year,modem,motion,master,lost,cursor,camera,right,batf,puck
3,test,soon,like,problem,data,south,research,version,well,mail,think,nist,character,pain,jersey,band,award,bible,thank,isle,point,istanbul,anyone,wiring,clipper,state,france,offer,report,code,time,orbit,detector,price,program,people,compas,disk,word,exist,hockey,water,digest,bird,detroit,application,islamic,know,compound,cros
4,rochester,surrender,something,mode,computer,navy,year,graphic,know,post,black,canada,output,feel,fiction,clutch,draft,christian,problem,germany,time,pres,program,buffalo,system,drug,french,system,american,dream,effect,moon,rider,laser,string,village,japanese,controller,book,christian,season,work,brian,iraqi,chicago,panel,film,like,weapon,dept
5,flame,skepticism,even,support,planet,dont,firearm,format,thing,posting,repair,ticket,input,music,part,hawk,sport,lord,machine,switzerland,like,boot,disk,ground,government,criminal,african,sale,unit,wick,brain,nasa,appear,peripheral,define,kill,plate,hard,vaccine,argument,last,know,static,teacher,toronto,book,launcher,want,agent,stupidity
6,shit,gordon,went,monitor,server,yellow,rate,program,think,request,tire,ncsl,code,post,ranger,carter,winner,word,anyone,canada,player,london,advance,shot,public,police,dale,like,conference,particle,like,science,star,printer,file,turk,razor,floppy,genesi,believe,first,motif,miracle,glove,vancouver,georgia,strip,thing,waco,broadcast
7,okay,logic,cipher,work,application,uart,health,avail,work,group,problem,number,function,saint,darren,frequency,talent,claim,window,shar,game,university,looking,king,privacy,license,revolution,please,congres,reference,study,mission,comic,micro,include,muslim,material,model,backup,patient,night,real,realistic,disc,league,width,cheaper,make,stat,that
8,wood,shameful,want,video,resource,flag,washington,display,look,comp,year,line,using,experience,conception,like,number,book,board,server,better,latin,tape,bruin,data,private,gaza,cost,pres,probability,seem,solar,book,memory,text,turkey,william,manual,scholar,many,league,time,depth,chain,leaf,word,factory,question,davidian,lucifer
9,icon,circuit,well,mouse,user,buffer,number,software,want,subject,santa,polish,value,think,oiler,heat,team,faith,like,listserv,much,analyst,help,sabre,algorithm,insurance,lebanon,computer,general,isbn,body,spacecraft,plotting,deskjet,length,russian,learning,jumper,sticker,people,espn,something,picture,pregnancy,play,height,invent,well,assault,infect
10,forgot,intellect,second,screen,volume,presentation,report,tool,time,message,want,zone,program,much,crystal,radio,date,father,know,andy,well,harley,mail,power,device,safety,fielder,sell,group,female,cause,objective,space,capacity,widget,greece,like,software,passage,doctor,university,want,temp,jerome,serie,main,provider,many,cult,paul
11,place,ford,someone,version,unix,reality,safety,processing,going,email,indicator,fuse,line,hate,hartford,stone,gopher,believe,system,segment,average,publisher,info,blue,escrow,firearm,contest,information,national,turbo,many,homosexual,telescope,include,formula,soldier,earth,install,culture,treatment,goal,since,operational,iraq,player,location,batterie,believe,children,queen
12,yeah,chastity,going,system,operating,type,institute,data,around,site,people,connection,postscript,marri,baptism,high,pool,scripture,running,finland,play,adaptec,copy,outlet,standard,rate,prince,electronic,house,gamma,adult,degree,system,table,problem,attack,good,data,bible,know,second,make,request,gotta,boston,motif,tony,time,david,overtime
13,like,cadre,apartment,color,interactive,county,university,package,year,distribution,reason,call,text,knife,seller,time,coach,prayer,serial,cdrom,real,toshiba,email,flyer,message,case,integer,design,april,instruction,medical,high,venu,scope,command,children,make,interface,chapter,medical,club,much,laptop,earliest,wing,resource,copying,even,like,mexico
14,jeff,supp,room,running,page,sheriff,defense,jpeg,much,mailing,theism,trip,application,grade,reconcile,baby,hall,life,help,roger,make,cambridge,anybody,lead,secure,federal,zone,technology,government,correction,found,observation,serie,boost,sequence,nazi,marketing,offer,jerry,point,playoff,distance,visual,school,city,flexible,corvette,mean,warrant,skate
15,think,volt,face,memory,contain,contributing,director,support,front,please,done,german,name,make,station,predict,whoever,catholic,using,elvi,last,york,like,flame,user,person,year,company,today,sample,good,lunar,data,greatest,read,government,year,slave,like,real,player,using,logitech,mack,score,workshop,thug,come,people,enterprise
16,fuel,spell,real,microsoft,source,light,april,user,good,misc,service,arena,user,cylinder,cryptosystem,chronic,aclu,doctrine,upgrade,motto,pitcher,history,information,calgary,secret,government,filename,book,year,paradox,prevention,system,element,storage,issuing,year,take,transfer,know,universe,star,look,distributing,pack,pittsburgh,translation,diagram,fact,clinton,stay
